risk_type,risk_type_R00,risk_tag,description,典型行为,排除边界,监管依据,category
销售误导,R001,欺骗投保人,以虚假或引人误解的方式欺骗投保人、被保险人或受益人,故意告知投保人与保险合同不符的虚假情况；隐瞒与保险合同有关的重要事实（如免责条款、等待期、退保损失等）；伪造或变造保险文件资料；唆使投保人不如实告知健康情况,仅当违规行为直接作用于客户并造成客户被欺诈误导时才标注；违规对象仅是代理人或中介机构时不得直接归入；不包括销售过程中因表述不准确导致的误导（归入销售误导）；强调行为人的主观故意性,《保险法》第116条、第131条,销售误导
销售误导,R001,销售误导,在保险销售过程中对产品进行误导性陈述,"以银行理财、存款等名义销售保险产品；对保险条款作片面、选择性的有利解释；使用""储蓄计划""、""存钱""等易混淆概念描述保险产品",若已能被欺骗投保人、虚假宣传、夸大/承诺/保证收益、诱导投保、不当比较、隐瞒重要信息、电销违规、产品说明会违规、培训材料违规等更具体标签描述，不得因同一事实重复输出销售误导；仅笼统写宣传材料/销售话术/误导性内容不足以下本标签；原文明确出现「销售误导」字样时可标注,《保险法》第116条,销售误导
销售误导,R001,夸大收益,夸大保险产品的预期收益或投资回报,使用夸张性、推测性语言夸大产品的潜在收益或误导客户对收益的预期（如“稳赚”、“收益翻倍”、“年化收益可达5%”、“比存银行划算多了”等）,不包括使用保证、承诺、一定等确定性动词的表述（归入承诺收益）；监管备案的标准历史收益率演示不属夸大；有具体利息数额/回报金额/回报率的保证归保证收益,《保险法》第116条；《人身保险产品管理办法》,销售误导
宣传材料不真实,R003,虚假宣传,对保险产品进行虚假或夸大宣传,通过宣传单页、海报、公众号、短视频等渠道对产品作不实描述；宣传内容与客观事实、合同条款或实际情况不一致,仅有宣传材料/课件/话术或仅有收益类承诺不足以打本标签；已被保证/承诺/夸大收益覆盖且无独立非收益虚假内容时不打；培训课件存在虚假宣传归培训材料违规；电销场景一般不打虚假宣传,《广告法》第28条；《保险法》第116条,营销违规
合同外利益,R002,合同外利益,给予投保人保险合同约定以外的利益,上位概念。涵盖各类合同约定以外的利益诱导行为，包括赠送实物、返现回扣、保费折扣、提供旅游等,不包括保险条款已有约定的保单贷款、生存金、满期金等合同内权益；给予保险机构或工作人员的合同外利益不可归本标签；宣传赠送但实际未赠送归欺骗投保人,《保险法》第116条第4项,营销违规
合同外利益,R002,赠送利益,以赠送礼品、服务等方式诱导投保,合同外利益的具体表现形式之一。通过赠送体检卡、加油卡、洗车券、代金券等实物或服务诱导投保,区别于合同外利益的其他形式（返现归入回扣返佣、保费折扣另有分类）；赠送金额超过监管上限也属违规,《保险法》第116条,营销违规
合同外利益,R002,回扣返佣,向投保人返还保费或提供回扣,向投保人返还保费、佣金回扣、预缴费打折、保费折扣等现金形式利益,区别于赠送实物，回扣多以现金或保费折扣形式出现,《保险法》第131条,营销违规
宣传材料不真实,R003,产品说明会违规,产品说明会内容存在误导或数据不实,举办产品说明会未按规定向监管部门报告；使用未经备案的演示材料或课件；说明会内容超出备案范围；未按规定留存说明会录音录像资料；产说会管理不到位,产说会等同产品说明会；不包括说明会上讲述的具体违规内容（如夸大收益、承诺收益等单独归入对应风险标签）,《人身保险产品信息披露管理办法》,营销活动
内部管理与培训违规,R010,培训材料违规,销售培训材料存在误导或违规内容,制作或使用含有误导性内容的培训PPT、话术脚本；培训材料中包含绝对化表述或不实比较；个险营销员培训课件存在虚假宣传和误导内容,不包括产品说明会使用的材料（归入产品说明会违规）；不得将产品宣传材料、面向客户的其他材料算入本标签,《人身保险产品信息披露管理办法》；《保险法》第116条,营销活动
售后服务违规,R007,回访违规,客户回访过程中存在误导或信息不实,在回访过程中未按监管要求逐一确认犹豫期、退保损失等关键事项；诱导客户对回访问题作肯定回答；阻碍或变相阻碍客户接受回访,不包括销售环节未告知相关信息的违规行为（归入隐瞒重要信息）；回访数据造假归入客户信息不真实,《人身保险产品信息披露管理办法》；《保险销售行为管理办法》,售后违规
销售误导,R001,电销违规,电话销售过程中存在违规行为,电销中未经客户同意即发起呼叫；电销话术存在误导性陈述；电销过程未按规定录音；电销渠道保单存在违法行为；对电话销售业务违规负有责任,只要出现电话销售/电话营销/电销中心等场景并有违规事实即标注；不包含短信、网络等其他渠道,《保险法》第116条；《保险销售行为管理办法》,销售渠道
销售误导,R001,不当比较,不当将本公司产品与其他公司产品进行比较,"将本公司产品与银行理财、存款等作不当对比；使用""比存款划算""、""比理财更安全""等话术",不包括有明确数据支撑、不误导消费者的客观比较,《保险法》第116条；《保险公司管理规定》,营销违规
销售误导,R001,贬低竞品,贬低或诋毁其他保险公司产品,使用贬低性语言描述其他保险公司产品；散布同业负面信息；通过对比贬低竞争对手,不包括客观陈述自身产品优势（不涉及贬低他人）,《保险法》第116条；《保险销售行为管理办法》,营销违规
宣传材料不真实,R003,绝对化表述,使用最高级、绝对化或无法证实的表述,"使用""最好""、""最优""、""第一""、""唯一""、""行业领先""等绝对化用语",不包括有明确权威数据支撑的客观陈述；不包括品牌自有宣传口号的合理使用,《广告法》第9条,营销违规
销售误导,R001,承诺收益,对保险产品的收益做出承诺性表述,"对产品收益作出方向性的保本或增值承诺（如""买了肯定不亏""、""保本""、""一定赚钱""、""稳赚不赔""等），但不涉及具体收益率数字",只有明确出现肯定且绝对话语时才标注；不包括仅使用推测性语气的表述（归入夸大收益）；涉及具体收益率数字或比例的保证（归入保证收益）；产品条款明确载明的保底利率不属于违规承诺,《保险法》第116条；《人身保险销售误导行为认定指引》,销售误导
销售误导,R001,保证收益,保证保险产品的收益率或回报,对产品收益作出带有具体收益率数字、比例或回报金额的保证（如保证年化收益5%、固定利息3%-20%、复利分红70%、日复利滚息4.5%、分红25万）,区别于承诺收益的笼统表述，保证收益以明确的收益率数字、比例或具体回报金额出现；有此类证据时优先保证收益而非夸大收益,《保险法》第116条；《人身保险产品管理办法》,销售误导
