risk_tag,keyword
合同外利益,合同约定以外
合同外利益,合同外利益
合同外利益,赠送体检卡
合同外利益,赠送加油卡
合同外利益,赠送洗车券
合同外利益,体检卡
合同外利益,加油卡
合同外利益,洗车券
合同外利益,代金券
合同外利益,油卡
合同外利益,保费优惠
合同外利益,首年.*折
合同外利益,预交.*保费
合同外利益,预缴.*保费
赠送利益,赠送礼品
赠送利益,赠送服务
赠送利益,免费领
赠送利益,领取礼品
赠送利益,赠送油卡
赠送利益,赠送代金券
回扣返佣,返佣
回扣返佣,回扣
回扣返佣,返现
回扣返佣,预缴费打折
回扣返佣,缴费打折
回扣返佣,\d折
销售误导,销售误导
销售误导,误导性
销售误导,引人误解
销售误导,储蓄计划
销售误导,把钱从银行
销售误导,利息.*倍
销售误导,像存款
欺骗投保人,欺骗投保人
欺骗投保人,虚假告知
欺骗投保人,不履行.{0,24}如实告知
欺骗投保人,诱导投保人不履行
夸大收益,夸大收益
夸大收益,最高收益
夸大收益,稳赚
夸大收益,年化收益
夸大收益,翻好几倍
夸大收益,收益翻倍
夸大收益,比存银行
夸大收益,"夸大.{0,8}收益"
夸大收益,"夸大.{0,8}(?:保单|产品|服务)"
承诺收益,承诺收益
承诺收益,保本保息
承诺收益,保证回报
承诺收益,一定赚钱
承诺收益,买了肯定不亏
承诺收益,"承诺.{0,10}收益"
承诺收益,"承诺(?:给予|保证).{0,10}(?:利益|回报)"
保证收益,保证收益
保证收益,保证收益率
保证收益,稳赚不赔
保证收益,保证年化
弱化风险提示,不用担心
弱化风险提示,无风险
弱化风险提示,零风险
弱化风险提示,弱化风险
弱化风险提示,完全无风险
弱化风险提示,比银行更安全
弱化风险提示,免责.*不重要
隐瞒重要信息,未充分告知
隐瞒重要信息,未向投保人说明
隐瞒重要信息,隐瞒与保险合同
虚构收益率,虚构收益
虚构收益率,编造收益
虚构收益率,伪造收益
虚构收益率,虚构分红
虚构收益率,夸大分红
虚构收益率,分红数值
虚构收益率,共同分红率
虚构收益率,错误介绍保险产品收益
虚构收益率,虚构.{0,8}分红
绝对化表述,行业领先
绝对化表述,全国第一
绝对化表述,独一无二
绝对化表述,行业第一
绝对化表述,排名第一
绝对化表述,市场唯一
绝对化表述,全国唯一
绝对化表述,绝对领先
虚假宣传,虚假宣传
虚假宣传,夸大宣传
虚假宣传,未经.*备案的宣传
产品说明会违规,产品说明会
产品说明会违规,产说会
培训材料违规,培训材料
培训材料违规,培训话术
培训材料违规,培训PPT
培训材料违规,培训课件
培训材料违规,培训班
培训材料违规,"培训.{0,10}课件"
电销违规,电销
电销违规,电话销售
不当比较,不当对比
不当比较,不当类比
不当比较,比存款
不当比较,比理财更安全
不当比较,片面比较
不当比较,"(?:收益|利益|分红).{0,15}(?:存款|银行|证券|理财).{0,10}(?:比较|类比)"
不当比较,"(?:存款|银行).{0,15}(?:比较|类比)"
贬低竞品,贬低竞品
贬低竞品,诋毁同业
贬低竞品,同业负面
诱导投保,诱导投保
诱导投保,限时抢购
诱导投保,名额有限
诱导投保,即将停售
诱导投保,并未停售
诱导投保,限时限额
避债避税,避债
避债避税,避税
避债避税,规避债务
避债避税,收益免税
回访违规,阻碍.*回访
回访违规,阻挠.*回访
回访违规,回访过程中
回访违规,"回访.{0,6}(?:问题|电话)"
回访违规,"诱导.{0,10}回访"
回访违规,回访对象非
回访违规,回访记录
虚列费用套取资金,虚列费用
虚列费用套取资金,套取费用
虚列费用套取资金,虚假列支
虚列费用套取资金,虚挂中介
代理人管理不到位,代理人管理
代理人管理不到位,执业登记
代理人管理不到位,资格证书
代理人管理不到位,执业证书
代理人管理不到位,展业证
代理人管理不到位,未按规定进行执业
委托无资质机构销售,委托无资质
委托无资质机构销售,无资质机构
委托无资质机构销售,"委托.{0,20}(?:机构|公司|平台).{0,12}(?:销售|代理)"
未按规定使用费率条款,费率条款
未按规定使用费率条款,未按规定使用
未按规定使用费率条款,擅自变更.*条款
客户信息不真实,客户信息不真实
客户信息不真实,回访记录造假
